education,birth_year,state,gender,zodiac,work
University,,California,Male,,
University,,Maryland,Male,,
High School,,Georgia,Male,,
,,Ohio,Male,Virgo,
University,,Arizona,Male,,
University,,California,Male,,
High School,,Florida,Male,,
,1989,Texas,Male,Gemini,
University,1989,Tennessee,Male,Sagittarius,
University,,Iowa,Male,,
University,,New Mexico,Male,Leo,
High School,,Ohio,Male,,
University,,Nebraska,Male,,
High School,1981,Ohio,Male,Virgo,
University,,Illinois,Male,,
University,,Illinois,Male,,
University,,Florida,Male,,
University,,Connecticut,Male,,
University,,Illinois,Male,,
High School,,South Carolina,Male,,
High School,,South Carolina,Male,,
Master,,Minnesota,Male,,
University,,New Jersey,Male,,
High School,,Ohio,Male,Aries,
Master,,Texas,Male,,
High School,,Maryland,Male,,
,,Louisiana,Male,Aries,
High School,,Nebraska,Male,,
High School,,New York,Male,,
University,,Texas,Female,,
,1986,Florida,Male,Aries,
High School,1993,Colorado,Male,Libra,
University,,New York,Male,,
High School,,North Dakota,Male,,
University,,Alaska,Male,,
High School,,Texas,Male,,
University,1989,Oklahoma,,Aries,
High School,,Maryland,Male,,
University,,New Jersey,Male,Libra,
,,Oklahoma,Male,Gemini,
,,Indiana,Male,Aries,
University,,Florida,Male,,
University,,California,Male,,
High School,,Illinois,Male,,
University,1981,Georgia,Male,Leo,
University,,Ohio,Male,,
University,,Texas,,Libra,
University,,Texas,Male,,
High School,,Ohio,Male,,
University,,New York,Male,,
High School,,Missouri,Male,,
High School,,Wisconsin,Male,,
University,,Colorado,Male,,
University,,Georgia,Female,,
University,1992,New Jersey,Male,Virgo,
High School,,Pennsylvania,,,
University,,California,Male,,
University,,Oklahoma,Female,,
High School,,Louisiana,Male,Capricorn,
University,,Illinois,Male,,
University,,Alabama,Male,,
University,,Michigan,Male,,
University,,Georgia,Male,,
High School,,Virginia,Male,Capricorn,
High School,,Georgia,Male,,
University,,Texas,Male,,
University,,Georgia,Male,,
University,,Illinois,Male,,
University,,South Carolina,Male,,
University,,Pennsylvania,Male,,
University,,New York,Male,,
High School,,Florida,Male,,
High School,,Kansas,Male,,
University,1994,Texas,Male,Scorpio,
University,,Florida,Male,,
University,,Louisiana,Male,,
University,,Georgia,Male,,
University,,Indiana,Male,,
High School,,Oregon,Male,,
University,,Illinois,Male,,
University,,Illinois,Male,,
,,New Mexico,Male,Virgo,
University,,North Carolina,Female,,
University,,Florida,Male,,
University,,Missouri,Male,,
University,,Missouri,Male,,
